track_id;Atributo;Valor
4671002;bpm;medio
4671002;danceability;baixo
4671002;valence;baixo
4671002;energy;baixo
4671002;acousticness;alto
4671002;instrumentalness;baixo
4671002;liveness;medio
4671002;speechiness;baixo
6107475;bpm;alto
6107475;danceability;baixo
6107475;valence;baixo
6107475;energy;baixo
6107475;acousticness;medio
6107475;instrumentalness;baixo
6107475;liveness;baixo
6107475;speechiness;baixo
4991676;bpm;baixo
4991676;danceability;baixo
4991676;valence;medio
4991676;energy;medio
4991676;acousticness;medio
4991676;instrumentalness;medio
4991676;liveness;alto
4991676;speechiness;baixo
2307433;bpm;alto
2307433;danceability;baixo
2307433;valence;medio
2307433;energy;medio
2307433;acousticness;alto
2307433;instrumentalness;medio
2307433;liveness;medio
2307433;speechiness;baixo
7717973;bpm;alto
7717973;danceability;medio
7717973;valence;medio
7717973;energy;medio
7717973;acousticness;baixo
7717973;instrumentalness;medio
7717973;liveness;alto
7717973;speechiness;baixo
4518298;bpm;alto
4518298;danceability;medio
4518298;valence;medio
4518298;energy;medio
4518298;acousticness;baixo
4518298;instrumentalness;medio
4518298;liveness;alto
4518298;speechiness;baixo
1587452;bpm;baixo
1587452;danceability;baixo
1587452;valence;medio
1587452;energy;medio
1587452;acousticness;medio
1587452;instrumentalness;medio
1587452;liveness;baixo
1587452;speechiness;baixo
3533833;bpm;medio
3533833;danceability;baixo
3533833;valence;medio
3533833;energy;alto
3533833;acousticness;baixo
3533833;instrumentalness;medio
3533833;liveness;medio
3533833;speechiness;baixo
1386091;bpm;medio
1386091;danceability;medio
1386091;valence;baixo
1386091;energy;medio
1386091;acousticness;medio
1386091;instrumentalness;medio
1386091;liveness;baixo
1386091;speechiness;baixo
6593931;bpm;alto
6593931;danceability;baixo
6593931;valence;alto
6593931;energy;medio
6593931;acousticness;medio
6593931;instrumentalness;medio
6593931;liveness;medio
6593931;speechiness;baixo
4069645;bpm;alto
4069645;danceability;baixo
4069645;valence;alto
4069645;energy;alto
4069645;acousticness;alto
4069645;instrumentalness;medio
4069645;liveness;alto
4069645;speechiness;baixo
8096695;bpm;alto
8096695;danceability;baixo
8096695;valence;baixo
8096695;energy;baixo
8096695;acousticness;alto
8096695;instrumentalness;baixo
8096695;liveness;alto
8096695;speechiness;baixo
7556948;bpm;alto
7556948;danceability;baixo
7556948;valence;baixo
7556948;energy;baixo
7556948;acousticness;alto
7556948;instrumentalness;baixo
7556948;liveness;medio
7556948;speechiness;baixo
8167749;bpm;medio
8167749;danceability;medio
8167749;valence;alto
8167749;energy;baixo
8167749;acousticness;alto
8167749;instrumentalness;baixo
8167749;liveness;baixo
8167749;speechiness;baixo
2230668;bpm;baixo
2230668;danceability;medio
2230668;valence;baixo
2230668;energy;medio
2230668;acousticness;baixo
2230668;instrumentalness;medio
2230668;liveness;medio
2230668;speechiness;baixo
8689972;bpm;medio
8689972;danceability;baixo
8689972;valence;medio
8689972;energy;baixo
8689972;acousticness;alto
8689972;instrumentalness;baixo
8689972;liveness;medio
8689972;speechiness;baixo
3210546;bpm;medio
3210546;danceability;medio
3210546;valence;baixo
3210546;energy;medio
3210546;acousticness;medio
3210546;instrumentalness;medio
3210546;liveness;medio
3210546;speechiness;baixo
1159428;bpm;alto
1159428;danceability;medio
1159428;valence;medio
1159428;energy;medio
1159428;acousticness;baixo
1159428;instrumentalness;medio
1159428;liveness;medio
1159428;speechiness;baixo
8186517;bpm;medio
8186517;danceability;medio
8186517;valence;medio
8186517;energy;medio
8186517;acousticness;medio
8186517;instrumentalness;medio
8186517;liveness;alto
8186517;speechiness;baixo
3087104;bpm;medio
