track_id,quartil_streams,categoria_streams,quartil_bpm,categoria_bpm,quartil_danceability,categoria_danceability,quartil_valence,categoria_valence,quartil_energy,categoria_energy,quartil_acousticness,categoria_acousticness,quartil_instrumentalness,categoria_instrumentalness,quartil_liveness,categoria_liveness,quartil_speechiness,categoria_speechiness,quartil_total_playlists,categoria_total_playlists
8143341,1,Baixo,1,Baixo,2,Médio,1,Baixo,1,Baixo,1,Baixo,3,Médio,4,Alto,1,Baixo,1,Baixo
3305057,1,Baixo,4,Alto,1,Baixo,2,Médio,3,Médio,1,Baixo,1,Baixo,2,Médio,3,Médio,1,Baixo
6062396,2,Médio,3,Médio,4,Alto,4,Alto,4,Alto,1,Baixo,1,Baixo,1,Baixo,3,Médio,1,Baixo
3054476,1,Baixo,4,Alto,1,Baixo,3,Médio,4,Alto,1,Baixo,4,Alto,3,Médio,3,Médio,1,Baixo
2587921,1,Baixo,4,Alto,4,Alto,4,Alto,1,Baixo,1,Baixo,3,Médio,2,Médio,3,Médio,1,Baixo
4343383,2,Médio,3,Médio,1,Baixo,1,Baixo,3,Médio,1,Baixo,2,Médio,3,Médio,1,Baixo,1,Baixo
7691321,2,Médio,3,Médio,3,Médio,3,Médio,4,Alto,1,Baixo,3,Médio,4,Alto,4,Alto,1,Baixo
8943060,1,Baixo,3,Médio,2,Médio,2,Médio,4,Alto,1,Baixo,1,Baixo,3,Médio,1,Baixo,1,Baixo
5922471,1,Baixo,4,Alto,1,Baixo,3,Médio,4,Alto,1,Baixo,2,Médio,4,Alto,2,Médio,1,Baixo
4148996,1,Baixo,4,Alto,3,Médio,4,Alto,3,Médio,1,Baixo,3,Médio,2,Médio,3,Médio,1,Baixo
6801500,1,Baixo,1,Baixo,1,Baixo,1,Baixo,1,Baixo,1,Baixo,3,Médio,3,Médio,1,Baixo,1,Baixo
2661792,2,Médio,2,Médio,3,Médio,3,Médio,2,Médio,1,Baixo,3,Médio,1,Baixo,1,Baixo,1,Baixo
7243247,1,Baixo,3,Médio,1,Baixo,1,Baixo,3,Médio,1,Baixo,2,Médio,1,Baixo,2,Médio,1,Baixo
2009624,2,Médio,2,Médio,2,Médio,1,Baixo,4,Alto,1,Baixo,2,Médio,1,Baixo,3,Médio,1,Baixo
3546474,1,Baixo,2,Médio,3,Médio,1,Baixo,3,Médio,1,Baixo,1,Baixo,4,Alto,3,Médio,1,Baixo
1121286,1,Baixo,3,Médio,4,Alto,3,Médio,4,Alto,1,Baixo,2,Médio,4,Alto,2,Médio,1,Baixo
4837745,2,Médio,3,Médio,4,Alto,3,Médio,1,Baixo,1,Baixo,1,Baixo,2,Médio,1,Baixo,1,Baixo
2840055,2,Médio,4,Alto,2,Médio,4,Alto,4,Alto,1,Baixo,3,Médio,4,Alto,1,Baixo,1,Baixo
4812397,2,Médio,4,Alto,1,Baixo,1,Baixo,2,Médio,1,Baixo,1,Baixo,2,Médio,1,Baixo,1,Baixo
5975489,1,Baixo,2,Médio,4,Alto,2,Médio,2,Médio,1,Baixo,1,Baixo,3,Médio,4,Alto,1,Baixo
6640464,2,Médio,1,Baixo,4,Alto,2,Médio,2,Médio,1,Baixo,4,Alto,2,Médio,4,Alto,1,Baixo
7629327,2,Médio,1,Baixo,4,Alto,2,Médio,4,Alto,1,Baixo,3,Médio,1,Baixo,2,Médio,1,Baixo
4070434,3,Médio,4,Alto,1,Baixo,3,Médio,4,Alto,1,Baixo,1,Baixo,4,Alto,4,Alto,1,Baixo
6644972,1,Baixo,3,Médio,1,Baixo,2,Médio,4,Alto,1,Baixo,3,Médio,4,Alto,3,Médio,1,Baixo
5678676,2,Médio,1,Baixo,3,Médio,1,Baixo,3,Médio,1,Baixo,4,Alto,2,Médio,2,Médio,1,Baixo
3461405,1,Baixo,2,Médio,3,Médio,4,Alto,2,Médio,1,Baixo,1,Baixo,2,Médio,1,Baixo,1,Baixo
8756692,1,Baixo,1,Baixo,2,Médio,4,Alto,3,Médio,1,Baixo,3,Médio,4,Alto,3,Médio,1,Baixo
6609930,1,Baixo,1,Baixo,2,Médio,1,Baixo,2,Médio,1,Baixo,2,Médio,3,Médio,2,Médio,1,Baixo
5554493,1,Baixo,4,Alto,4,Alto,1,Baixo,3,Médio,1,Baixo,2,Médio,3,Médio,4,Alto,1,Baixo
8553734,1,Baixo,1,Baixo,4,Alto,4,Alto,3,Médio,1,Baixo,2,Médio,1,Baixo,3,Médio,1,Baixo
6333549,2,Médio,2,Médio,4,Alto,3,Médio,4,Alto,1,Baixo,4,Alto,4,Alto,1,Baixo,1,Baixo
