track_id,track_name,artist_name,artist_count,release_date,bpm,key_note,mode,danceability_pct,valence_pct,energy_pct,acousticness_pct,instrumentalness_pct,liveness_pct,speechiness_pct,in_spotify_playlists,in_spotify_charts,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,streams,total_playlists,total_charts
7477767,Evergreen (You Didn   t Deserve Me A,Omar Apollo,1,2022-04-08,82,A,Major,70,31,34,60,1,11,4,2499,0,70,0,49,0,227918678,2618,0
8186517,Infinity,Jaymes Young,1,2017-06-23,122,B,Minor,67,50,67,15,0,30,4,4375,0,24,0,396,0,888046992,4795,0
8553734,A Veces (feat. Feid),"Feid, Paulo Londra",2,2022-11-03,92,C#,Major,80,81,67,4,0,8,6,573,0,2,0,7,0,73513683,582,0
4487193,"Paulo Londra: Bzrp Music Sessions, Vol. 23","Bizarrap, Paulo Londra",2,2022-04-25,96,Ausente,Major,61,32,90,25,0,10,9,928,0,19,0,7,0,164163229,954,0
6347306,Dua Lipa,Jack Harlow,1,2022-05-06,158,B,Major,83,41,65,0,10,11,8,1992,0,35,0,3,0,150500965,2030,0
6009839,Plan A,Paulo Londra,1,2022-03-23,174,Ausente,Major,58,56,83,5,0,7,4,1105,0,32,0,19,0,240661097,1156,0
3469822,Gatita,Bellakath,1,2022-10-03,101,G,Major,90,76,81,15,24,33,6,1054,0,9,0,15,0,168684524,1078,0
8835305,"jealousy, jealousy",Olivia Rodrigo,1,2021-05-21,164,A#,Minor,70,71,58,24,0,7,13,3257,0,10,0,70,0,665765558,3337,0
3210546,Selfish,PnB Rock,1,2016-06-23,102,C#,Minor,64,4,60,11,0,19,4,2468,0,15,0,0,0,380319238,2483,0
4782067,Happier Than Ever - Edit,Billie Eilish,1,2021-07-28,81,Ausente,Major,45,12,57,7,0,23,3,1959,0,19,0,38,0,412795151,2016,0
7512111,Lady Mi Amor,Feid,1,2022-09-13,93,D,Major,78,75,62,6,0,15,6,330,0,3,0,2,0,53987404,335,0
4464368,thought i was playing,"21 Savage, Gunna",2,2022-01-07,148,C#,Major,68,29,73,0,0,7,7,807,0,3,0,5,0,60680939,815,0
6509365,The Heart Part 5,Kendrick Lamar,1,2022-05-08,98,G#,Minor,76,79,81,18,0,6,34,2939,0,29,0,30,0,71423324,2998,0
2817956,Boy's a liar,PinkPantheress,1,2022-11-30,133,F,Major,66,74,84,25,0,21,4,1225,0,27,0,28,13,156338624,1280,13
7762851,Savior,"Kendrick Lamar, Sam Dew, Baby Keem",3,2022-05-13,123,G#,Major,61,66,71,53,0,32,46,2291,0,9,0,8,0,86176890,2308,0
2341529,Bigger Than The Whole Sky,Taylor Swift,1,2022-10-21,166,F#,Major,42,7,24,83,1,12,6,1180,0,4,0,8,0,121871870,1192,0
1713130,Auntie Diaries,Kendrick Lamar,1,2022-05-13,78,G,Major,43,60,38,76,1,48,38,1545,0,1,0,4,0,37778188,1550,0
8126826,Ginseng Strip 2002,Yung Lean,1,2013-08-16,115,C#,Major,60,37,71,8,0,48,4,4310,0,13,0,113,1,240769997,4436,1
3841850,Si Quieren Frontear,"De La Ghetto, Duki, Quevedo",3,2022-03-31,82,A#,Major,79,48,84,13,0,21,23,859,0,14,0,11,0,178512385,884,0
6774092,Purple Hearts,"Kendrick Lamar, Ghostface Killah, Summer Walker",3,2022-05-13,138,D#,Minor,57,71,82,19,0,15,29,2308,0,7,0,7,0,76831876,2322,0
8143341,Bye Bye,"Marshmello, Juice WRLD",2,2022-10-14,83,D#,Minor,65,24,53,6,0,51,4,766,0,16,0,9,0,84697729,791,0
1771212,Die Young (feat. 347aidan),"Sleepy hallow, 347aidan",2,2022-05-25,77,B,Major,81,68,58,83,0,11,34,896,0,19,0,15,0,160845341,930,0
7688790,Cash In Cash Out,"Pharrell Williams, Tyler, The Creator, 21 Savage",4,2022-06-10,120,G,Major,88,15,56,1,0,8,6,2313,0,34,0,29,0,136676504,2376,0
3186172,Worldwide Steppers,Kendrick Lamar,1,2022-05-13,72,A#,Minor,56,56,47,76,0,8,36,1480,0,1,0,5,0,61739839,1486,0
6177084,Father Time (feat. Sampha),"Kendrick Lamar, Sampha",2,2022-05-13,153,A#,Minor,55,50,78,19,0,11,35,3107,0,4,0,22,0,127309180,3133,0
8476304,Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney,1,1979-11-16,95,B,Major,75,74,58,36,0,9,3,1685,0,1,0,29,0,403939487,1715,0
8033263,SloMo,Chanel,1,2021-12-24,105,C#,Minor,73,59,81,13,0,9,6,1211,0,31,0,19,0,65719930,1261,0
6593931,Driving Home for Christmas - 2019 Remaster,Chris Rea,1,1986-01-01,180,A,Major,51,87,58,36,0,18,4,888,0,50,0,6,0,429504768,944,0
2835063,2055,Sleepy hallow,1,2021-04-14,161,F#,Minor,78,65,52,46,0,12,31,2226,0,29,0,44,0,624515457,2299,0
3635714,Savior - Interlude,Kendrick Lamar,1,2022-05-13,118,F,Minor,66,83,43,84,0,19,19,1194,0,0,0,3,0,37091576,1197,0
3371670,Nail Tech,Jack Harlow,1,2022-02-18,150,E,Minor,65,11,58,0,0,12,9,2939,0,42,0,24,0,193443895,3005,0
6191375,die first,Nessa Barrett,1,2022-06-24,183,G#,Minor,44,44,67,7,0,12,13,767,0,25,0,22,0,131746175,814,0
4557678,Chance,Paulo Londra,1,2022-04-06,138,C#,Minor,72,22,46,24,0,9,6,225,0,11,0,7,0,89566512,243,0
7546342,It's Beginning To Look A Lot Like Christmas,Michael Bubl ,1,2011-10-14,93,E,Major,35,38,23,91,0,29,3,12353,0,35,0,549,0,807561936,12937,0
2475712,Agudo M  gi,"Styrx, utku INC, Thezth",3,1930-01-01,130,F#,Minor,65,49,80,22,4,7,5,323,0,4,0,14,0,90598517,341,0
5087776,Mirror,Kendrick Lamar,1,2022-05-13,92,E,Minor,66,29,65,23,0,8,7,1929,0,2,0,4,0,53603447,1935,0
5311211,I AM WOMAN,Emmy Meli,1,2021-11-18,170,A#,Major,65,46,47,12,0,13,16,2795,0,45,0,107,0,225259194,2947,0
8164697,Tubar  o Te,"Dj LK da Esc  cia, Tchakabum, mc jhenny, M",4,2022-09-28,130,E,Minor,89,48,74,30,0,7,36,1003,0,21,0,44,0,116144341,1068,0
6213355,Bussin,"Nicki Minaj, Lil Baby",2,2022-02-11,140,B,Major,89,75,70,6,0,13,5,847,0,25,0,14,0,64714573,886,0
1532170,Poland,Lil Yachty,1,2022-06-23,150,F,Minor,70,26,56,14,83,11,5,1584,0,38,0,24,0,115331792,1646,0
4061483,Love Grows (Where My Rosemary Goes),Edison Lighthouse,1,1970-01-01,110,A,Major,53,75,69,7,0,17,3,2877,0,16,0,54,0,0,2947,0
2150360,Soy El Unico,Yahritza Y Su Esencia,1,2022-03-25,84,E,Minor,71,63,45,45,0,11,3,226,0,5,0,4,0,126443991,235,0
5264430,Rich - Interlude,Kendrick Lamar,1,2022-05-13,104,G,Major,44,74,42,88,0,9,9,1103,0,0,0,0,0,41210087,1103,0
1647815,Se Le Ve,"Arcangel, De La Ghetto, Justin Quiles, Lenny Tav  rez, Sech, Dalex, Dimelo Flow, Rich Music",8,2021-08-12,84,G,Minor,56,61,76,10,0,14,11,1560,0,72,0,0,0,223319934,1632,0
